% of Total,% of Total,Report
", {0} failed",", {0} failed",Bulk Operation
2D Plan — المخطط,2D Plan — المخطط
"A co-working space is a bookable resource — desks, rooms, studios, or any physical area.","A co-working space is a bookable resource — desks, rooms, studios, or any physical area."
A pending request already exists,A pending request already exists
A pending request already exists between these members,A pending request already exists between these members
About ARKSpace,About ARKSpace
About ARKSpace — عن أرك سبيس,About ARKSpace — عن أرك سبيس
Accent Color,Accent Color,Design
Accept,Accept
Accept or Decline,Accept or Decline
"Accept payments via Stripe, Tap, or other gateways configured in ARKSpace Settings.","Accept payments via Stripe, Tap, or other gateways configured in ARKSpace Settings."
Accepted,Accepted
Achievement Badges,Achievement Badges
Action,Action
Action Controls,Action Controls
Actions,Actions,Button
Active,Active,Status
Active / ساري,Active / ساري,Member Contract Status
Active Members,Active Members,Report
Active Members / الأعضاء النشطون,Active Members / الأعضاء النشطون
Active Membership,Active Membership,ARK Live
Active Memberships,Active Memberships,Portal
Active subscriptions,Active subscriptions
Activity based on bookings,Activity based on bookings,Dashboard
Actual,Actual
Add,Add,Button
Add Co-working Spaces to see them on the floor plan.,Add Co-working Spaces to see them on the floor plan.,Floor Plan
Add Credits,Add Credits,Button
Add your co-working space locations. You can add more later.,Add your co-working space locations. You can add more later.,Setup Wizard
Add-on Amenities,Add-on Amenities,Space Booking Section
Address / العنوان,Address / العنوان,Member Contract
Adjust Time (optional),Adjust Time (optional)
Adjustment Type,Adjustment Type
Admin,Admin
"Admin, Manager, Front Desk, Ops, Member","Admin, Manager, Front Desk, Ops, Member"
Advanced,Advanced,Training Level
All Booking Types,All Booking Types
All Branches,All Branches,Portal
All Floors,All Floors,Floor Plan Filter
All Floors — كل الطوابق,All Floors — كل الطوابق
All Skills,All Skills
All Spaces,All Spaces
All Types,All Types,Portal
Allow Anonymous Posts / السماح بالمنشورات المجهولة,Allow Anonymous Posts / السماح بالمنشورات المجهولة
Allow Cross-Location Booking / السماح بالحجز بين الفروع,Allow Cross-Location Booking / السماح بالحجز بين الفروع
Allow Day Passes / السماح بالتصاريح اليومية,Allow Day Passes / السماح بالتصاريح اليومية
Allow Walk-in / السماح بالحضور المباشر,Allow Walk-in / السماح بالحضور المباشر
Already checked in at {0},Already checked in at {0}
Already have an account?,Already have an account?
Always,Always
Amended From,Amended From,Field
Amenities,Amenities,Section
"Amenities are linked to spaces via Space Amenity child entries, enabling filter-by-amenity bookings.","Amenities are linked to spaces via Space Amenity child entries, enabling filter-by-amenity bookings."
"Amenities are the features available in a space — WiFi, projector, whiteboard, coffee machine, etc.","Amenities are the features available in a space — WiFi, projector, whiteboard, coffee machine, etc."
Amenities — المرافق,Amenities — المرافق
Amenity,Amenity,DocType
Amenity Catalog,Amenity Catalog
Amenity Fee / رسوم خدمات,Amenity Fee / رسوم خدمات,Receipt Type
Amenity Name,Amenity Name,Amenity
Amenity Total,Amenity Total,Space Booking
Amount,Amount,Field
