% of Total,% من الإجمالي
", {0} failed",، فشل {0}
2D Plan — المخطط,المخطط
"A co-working space is a bookable resource — desks, rooms, studios, or any physical area.",مساحة العمل المشتركة هي مورد قابل للحجز — مكاتب، غرف، استوديوهات، أو أي مساحة مادية.
A pending request already exists,يوجد طلب معلق بالفعل
A pending request already exists between these members,يوجد طلب تواصل معلق بالفعل بين هذين العضوين
About ARKSpace,عن أرك سبيس
About ARKSpace — عن أرك سبيس,عن أرك سبيس
Accent Color,لون التمييز
Accept,قبول
Accept or Decline,قبول أو رفض
"Accept payments via Stripe, Tap, or other gateways configured in ARKSpace Settings.",استقبل المدفوعات عبر Stripe أو Tap أو البوابات الأخرى المكوّنة في إعدادات أرك سبيس.
Accepted,مقبول
Achievement Badges,شارات الإنجاز
Action,إجراء
Action Controls,عناصر التحكم
Actions,إجراءات
Active,نشط
Active / ساري,ساري
Active Members,الأعضاء النشطون
Active Members / الأعضاء النشطون,الأعضاء النشطون
Active Membership,عضوية نشطة
Active Memberships,العضويات النشطة
Active subscriptions,الاشتراكات النشطة
Activity based on bookings,نشاط بناءً على الحجوزات
Actual,الفعلي
Add,إضافة
Add Co-working Spaces to see them on the floor plan.,أضف مساحات عمل مشتركة لعرضها على مخطط الطابق.
Add Credits,إضافة رصيد
Add your co-working space locations. You can add more later.,أضف مواقع مساحات العمل. يمكنك إضافة المزيد لاحقاً.
Add-on Amenities,المرافق الإضافية
Address / العنوان,العنوان
Adjustment Type,نوع التعديل
Admin,المسؤول
"Admin, Manager, Front Desk, Ops, Member",المسؤول، المدير، الاستقبال، العمليات، العضو
Advanced,متقدم
All Booking Types,جميع أنواع الحجز
All Branches,جميع الفروع
All Floors,جميع الطوابق
All Floors — كل الطوابق,كل الطوابق
All Skills,جميع المهارات
All Spaces,جميع المساحات
All Types,جميع الأنواع
Allow Anonymous Posts / السماح بالمنشورات المجهولة,السماح بالمنشورات المجهولة
Allow Cross-Location Booking / السماح بالحجز بين الفروع,السماح بالحجز بين الفروع
Allow Day Passes / السماح بالتصاريح اليومية,السماح بالتصاريح اليومية
Allow Walk-in / السماح بالحضور المباشر,السماح بالحضور المباشر
Already checked in at {0},تم تسجيل الدخول مسبقاً في {0}
Already have an account?,هل لديك حساب بالفعل؟
Always,دائماً
Amended From,معدّل من
Amenities,المرافق
"Amenities are linked to spaces via Space Amenity child entries, enabling filter-by-amenity bookings.",ترتبط المرافق بالمساحات عبر إدخالات مرافق المساحة، مما يتيح الحجز حسب المرافق المتاحة.
"Amenities are the features available in a space — WiFi, projector, whiteboard, coffee machine, etc.",المرافق هي الميزات المتوفرة في المساحة — واي فاي، بروجكتور، سبورة، ماكينة قهوة، إلخ.
Amenities — المرافق,المرافق
Amenity,مرفق
Amenity Catalog,دليل المرافق
Amenity Fee / رسوم خدمات,رسوم خدمات
Amenity Name,اسم المرفق
Amenity Total,إجمالي المرافق
Amount,المبلغ
Amount / المبلغ,المبلغ
Amount must be greater than zero,يجب أن يكون المبلغ أكبر من صفر
Amounts,المبالغ
An account with this email already exists. Please login.,يوجد حساب بهذا البريد الإلكتروني بالفعل. يرجى تسجيل الدخول.
Analytics,التحليلات
Analytics & reports,التحليلات والتقارير
Analytics & Reports,التحليلات والتقارير
Analytics / التحليلات,التحليلات
Analytics Dashboard,لوحة التحليلات
Analytics Overview,نظرة عامة على التحليلات
Analytics Snapshot,لقطة التحليلات
Analytics snapshot captured successfully,تم التقاط لقطة التحليلات بنجاح
Analytics — التحليلات,التحليلات
Announcement,إعلان
Anonymous Member,عضو مجهول
App Configuration,تكوين التطبيق
Applies To,ينطبق على
Approval,الموافقة
Approval Status,حالة الموافقة
Approve,موافقة
"Approve, cancel, check-in gated",الموافقة، الإلغاء، التحقق عند الدخول
Approved,موافق عليه
Approved By,تمت الموافقة بواسطة
Arabic,العربية
Arabic + RTL Support,دعم العربية واتجاه RTL
Arabic Font,الخط العربي
Arabic terms are required,الشروط بالعربية مطلوبة
Archived,مؤرشف
Are you sure you want to cancel this booking?,هل أنت متأكد من إلغاء هذا الحجز؟
Are you sure you want to refund this payment?,هل أنت متأكد من استرداد هذا الدفع؟
Are you sure you want to suspend this membership?,هل أنت متأكد من تعليق هذه العضوية؟
Area,المساحة
Area (sqm),المساحة (م²)
ARK Booking Flow,تدفق حجوزات آرك
ARK Command Center,مركز قيادة آرك
ARK Command Center — مركز القيادة,مركز القيادة
ARK Community Network,شبكة مجتمع آرك
ARK Community — شبكة المجتمع,شبكة المجتمع
ARK Explorer,مستكشف آرك
ARK Explorer — المستكشف,المستكشف
ARK Live — المخطط التفاعلي,ARK Live — المخطط التفاعلي
ARK Live — عرض المساحات التفاعلي,عرض المساحات التفاعلي
ARK Onboarding,تأهيل آرك
ARK Onboarding — جولة تعريفية,جولة تعريفية
ARKANOOR Marketplace,سوق أركانور
ARKSpace,أرك سبيس
ARKSpace Admin,مدير أرك سبيس
ARKSpace Analytics Dashboard,لوحة تحليلات أرك سبيس
ARKSpace Branch,فرع أرك سبيس
ARKSpace Check-in,تسجيل دخول ARKSpace
ARKSpace Community,مجتمع أرك سبيس
ARKSpace Configuration,إعدادات أرك سبيس
"ARKSpace delivers enterprise-grade co-working management with full ERPNext integration — at zero licensing cost, fully open source.",أرك سبيس يقدم إدارة مساحات عمل مشتركة بمستوى مؤسسي مع تكامل كامل مع ERPNext — بدون تكلفة ترخيص، مفتوح المصدر بالكامل.
ARKSpace Front Desk,استقبال أرك سبيس
ARKSpace Help,مساعدة أرك سبيس
ARKSpace Help — مساعدة أرك سبيس,مساعدة أرك سبيس
ARKSpace is a complete co-working space management system. This guided tour will show you how everything connects together.,أرك سبيس نظام متكامل لإدارة مساحات العمل المشتركة. هذه الجولة التعريفية ستوضح كيف يترابط كل شيء معاً.
ARKSpace is a comprehensive co-working space management platform.,أرك سبيس منصة شاملة لإدارة مساحات العمل المشتركة.
ARKSpace Management,إدارة أرك سبيس
ARKSpace Manager,مشرف أرك سبيس
ARKSpace Member,عضو أرك سبيس
ARKSpace Onboarding,جولة تعريفية لأرك سبيس
ARKSpace Operations,عمليات أرك سبيس
ARKSpace provides comprehensive analytics across all operations:,أرك سبيس يوفر تحليلات شاملة عبر جميع العمليات:
ARKSpace Sales,مبيعات أرك سبيس
ARKSpace Settings,إعدادات أرك سبيس
ARKSpace Settings not found. Please configure ARKSpace first.,لم يتم العثور على إعدادات أرك سبيس. يرجى تكوين أرك سبيس أولاً.
"ARKSpace tracks occupancy, revenue, member growth, bookings, and forecasts — all in one place.",يتتبع آرك سبيس الإشغال والإيرادات ونمو الأعضاء والحجوزات والتوقعات — الكل في مكان واحد.
ARKSpace uses CAPS (Capability-Based Access Control) for fine-grained security.,أرك سبيس يستخدم نظام CAPS للتحكم الدقيق في الصلاحيات.
ARKSpace Viewer,مشاهد أرك سبيس
ARKSpace — Enterprise Co-Working Management,أرك سبيس — إدارة مساحات العمل المشتركة للمؤسسات
ARKSpace — Member Portal,أرك سبيس — بوابة الأعضاء
